SMILES,score
CC(CNC1(C)CCCC1)C(C)Nc1cccc(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1Cl,10.52
CCC(CCNc1cc(Br)ccc1CCn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)CNc1nccn1CC,11.35
CC(C)(CO)C(Nc1ccsc1CCn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)c1ccccc1F,10.43
COCCC(=O)NCC1CCCC1CNc1cc(Cl)c(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(Cl)c1,12.26
CC(c1ccc(Nc2ncc(C3(O)CCCNC3C)s2)nc1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,8.79
CCOC(=O)/C(=C(\N)C(Cl)(Cl)NCC(CO)c1ccc(C)cn1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,8.09
COc1cc(OC)c(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cc1NCC1(C2CCOC2)CC(O)C1,10.79
CC(c1ccc(Br)cc1NCCCC1(O)CCC1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,11.4
CSc1ccc(NC2CCC(Nc3cnccc3CCn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)CC2)cc1,11.1
Cc1nc(CN2CCC(Nc3ccc(-n4nnnc4C(CO)N4CCc5cccc(Cl)c5C4)cc3NC(=O)OC(C)(C)C)C2)no1,7.04
COc1ccc(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(NCC2CCN(C3CCCOC3)C2)c1OC,11.81
CC(O)C(CN1CCNC1=O)Nc1ccc(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(Br)c1,9.66
CC(c1ccc(NC2CCN(c3cn[nH]c(=O)c3)CC2)cc1Br)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,13.25
Cc1ccnc(N(CC(C)(C)CN)c2ccccc2CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1,12.13
CCC1CCCN1CCC(CO)Nc1cccc(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1F,10.97
Cc1ccc(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(N2CCCCC2C(F)(CN)C(C)C)c1,11.59
CC(c1cc(Br)cc(NC2CCC(Nc3ccncn3)C2)c1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,8.58
CC(c1cc(Br)cc(NC2CCC(Nc3ccncn3)C2)c1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,7.72
NCCCCN(C(=O)c1ccc(Cl)nc1)c1ccc(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)s1,6.04
O=C(Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)Nc1ccc(NC(CC2CCCCC2O)C(=O)O)cn1,7.08
CC(CCNc1cccc(SC(C)C)c1Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)CNCc1cscn1,11.87
Cc1ccc(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cc1NC1(C(F)F)CCN(C)C1,9.53
Cc1cnc(Nc2cccc(Cl)c2Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)nc1NC(C)CCO,9.77
COc1cc(NCC(C)C(O)CS(C)(=O)=O)cc(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1OC,8.47
CCOc1ncccc1N(CCCN)c1ccc2sc(CCn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)cc2n1,9.78
NC1CC(CN(C(=O)CC2CCCC2)c2cncc(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c2)C1,12.17
CC(C)(C)OC(=O)Nc1ccc(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(NCCC(O)Cc2ccccn2)c1,7.69
Cc1cnnc(C(C)(CNc2ccc(Br)cc2C(C)n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)C(C)O)c1,12.38
CC(C)c1nc(CN2CCC(CNc3c(F)ccc(CCn4nnnc4C(CO)N4CCc5cccc(Cl)c5C4)c3F)C2)no1,11.37
CC(CCC(O)c1ccccc1)Nc1cc(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)ccc1Cl,7.59
CC(c1c(Br)cccc1N(CCCCN)C(=O)CC1CCSCC1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,9.3
CC(C)C1CNCC1CNc1ccc(C(F)(F)F)cc1C(C)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,9.18
CCC(CNCCNC(=O)Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)C1(O)COCCOC1,9.66
CN1CCCC(NC(=O)c2cnccc2Nc2ncn(C)c2CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)C1,13.14
CC(C)CC(CCO)(c1ccccc1)C(C)Nc1ccc2cccnc2c1C(C)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,8.62
CC(c1cc(Cl)nc(NCCCNC(=O)CC2(CN)CCC2)c1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,8.67
CN(c1ncnc2[nH]cc(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c12)C1(CN)CCCN(Cc2ccccc2)C1,7.16
CCC(CC)(Nc1cc(Br)c(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(Br)c1)C(=O)NC1CCCNC1=O,12.42
CC(C)(C)OC(=O)Nc1ccc(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(N2CC3CCC2C(CN)C3)c1,7.85
CC1CCN(CC(C)(C)CNc2cc(Cl)cc(CCn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c2)C(C)C1,13.03
CC(c1cc(Br)cnc1N1CCCC(CN)C1c1ccsc1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,8.74
COc1nccc(N(CCCN)C(=O)C2CCCOC2)c1Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,10.5
CC(c1ccc(OC(F)F)c(NCC2CCN(C3COCC3O)CC2)c1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,5.87
COc1cc(NCC(CO)C2=COCCC2)cc(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1,10.71
CC1NCCC1C(=O)N(CCCN)c1ccc(CCn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cc1C(F)(F)F,10.17
Cc1ccc(C(=O)N(CC(C)CCN)c2ccc(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c(Br)c2)cn1,9.93
COc1ncccc1CN1CCC(CNc2c(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c(C(F)(F)F)nn2C)C1,9.96
CC(C)(C)OC(=O)Nc1ccc(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cc1NC(=S)N1CCCC(O)(CO)C1,9.0
CC(c1ccccc1NC1CCN(CC2CCC(O)CC2)C1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,10.69
CC(O)CC(CNc1ncnc2[nH]cc(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c12)C1CCCCCC1,10.9
CC(c1c(Br)cccc1NCCCCNC(=O)CC1CCSCC1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,14.92
CC(C)=CC(=O)N(c1ccc2sc(CCn3nnnc3[C@@H](CO)N3CCc4cccc(Cl)c4C3)cc2n1)[C@H]1CC[C@@H](N)CC1,7.22
CC(C)CC(CO)NC1CCC(Nc2cc(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)cc(Cl)n2)CC1,10.34
COc1cccc(N(CC2CCC(O)C2)c2nnc(N)[nH]2)c1CCn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,10.45
CC(c1c(F)ccc(NC2CC(N(C)c3ncc[nH]3)C2)c1F)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,14.4
NCC1CCN(CC2CCCN2c2cc(Cl)ccc2-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)C1,9.19
C=C(C)C1(Nc2ccc(C#N)cc2-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)CCC(O)CC1,8.72
CC(C)(C)OC(=O)Nc1ccc(NC2CCC(N3CCOCC3(C)C)CC2)cc1CCn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,9.1
Cc1ccc(S(=O)(=O)C(c2ccc(NCC3(C4(O)CNC4)CC3(C)C)cc2)n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cc1,9.46
CC(CCNc1cccc(SC(C)C)c1Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)CNCc1cscn1,11.87
CCCC(=O)N1C2CCC1CC(Nc1c(Cl)cccc1Cn1nnnc1C(CO)N1CCc3cccc(Cl)c3C1)C2,12.77
CN(CC(=O)NCC1CC1)CC1CC(Nc2cccc(NC(=O)Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c2)C1,8.11
CCOc1ccccc1C1(CNc2cc(C(C)n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)ccc2C(F)(F)F)CC(O)C1,11.22
Cc1cccnc1CNC1CC(Nc2ccsc2C(C)n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)C1,9.29
CN(CC1=CCCC1)C1CC(Nc2cc(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)cc3c2OCO3)C1,10.35
Cc1cncc(C2(O)CC(Nc3cc(C(F)(F)F)ccc3-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)C2)c1,10.26
Cc1ccc(S(=O)(=O)C(c2ccc(F)cc2NC2(C)CCCCC2CO)n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cc1,14.71
CCN1CCC(Nc2ncc(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)cc2Br)(C2CC2)C1,11.81
NC1(CC(=O)NCCCNc2nccc(-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)n2)CCC1,12.9
COc1cc(OC)c(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)cc1NCC1CCN1Cc1sccc1Cl,10.71
CC(C)C1CC(CCO)(C(C)(C)Nc2cc(CCn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)ccc2C(F)(F)F)CCO1,11.39
O=C(Cn1nnnc1C(CO)N1CCc2cccc(Cl)c2C1)NCc1ccccc1NC1CCCN(c2cncc(Cl)n2)C1,8.71
CCC1CN(CCOC)CCC1CNc1cc(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)ccn1,10.88
Nc1c(Cl)ncnc1N(CC1CC(O)C1)c1ccc(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(C(F)(F)F)c1,9.37
CC(N)C(=O)N1CCC2(CCN(c3cc(-n4nnnc4C(CO)N4CCc5cccc(Cl)c5C4)cc(Cl)c3F)C2)C1,8.2
CC(O)CCN(C(=O)C(C)(C)N)c1csc(C(C)n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1,10.6
CCOc1cc(N2CCCC(O)C2)ccc1Nc1ccc(C(C)n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(OC)c1,7.97
CN(c1ccc(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(Cl)c1)c1cc(N2CCC(CO)C2)nc(N)n1,10.65
OCC(c1nnnn1-c1c(F)ccc(F)c1NC1CCC(O)(Cc2ccc(Cl)s2)C1)N1CCc2cccc(Cl)c2C1,12.54
COc1cc(C2(O)CCC(Nc3cc(OC(F)(F)F)ccc3-n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)C2)sn1,13.92
OCC(c1nnnn1CCc1ccc(Br)c(NC2(C3(O)CN4CCC3CC4)CC(F)(F)C2)c1)N1CCc2cccc(Cl)c2C1,12.09
CCn1cc(CN2CCC(CNc3c(F)ccc(Cn4nnnc4C(CO)N4CCc5cccc(Cl)c5C4)c3F)CC2)cn1,7.6
NC1CCC(N(C(=O)c2ccsc2)c2cccc(C(F)(F)F)c2Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)C1,12.62
CC(c1ccc(NC2CC(CN(C)S(=O)(=O)C(F)F)C2)c(C(F)(F)F)c1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,12.21
CC1CC(Nc2c(F)ccc(C(C)n3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)c2F)CN1Cc1ccccc1,7.69
CCc1ccc(C(=O)N(CC(C)CCN)c2ncc(Cn3nnnc3C(CO)N3CCc4cccc(Cl)c4C3)s2)o1,4.97
CC(c1ccc(Br)c(NCCCCN2CCN(C(=O)N(C)C)CC2)c1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,11.52
COC1CCCCC1(O)CCNc1c(-n2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(C(F)(F)F)nn1C,9.04
Cc1ccc(NCC2(C3C(C)(C)C3(C)C)CC(O)C2)c(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c1,8.65
OCC(c1nnnn1Cc1cc(Br)ccc1NC(CC(O)CF)C1CC1)N1CCc2cccc(Cl)c2C1,10.57
CC(c1cccc(NC2(C3(CCn4cncn4)CC3)CC2)c1F)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,9.14
CC(c1c(Cl)ncnc1NCC(C)(C)CCn1ncn(C)c1=O)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,6.01
CC(c1ccc(N2CC(N)C(c3cccnc3)C2)c(C(F)(F)F)c1)n1nnnc1C(CO)N1CCc2cccc(Cl)c2C1,13.64
Cc1ccc(Cn2nnnc2C(CO)N2CCc3cccc(Cl)c3C2)c(Nc2cncc(N(C)CC3CC(O)C3)c2)c1,9.04
